UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum
175.05,66.22,55.21,62.72,2.189,45.552,0.886,59.85,16158.05,18239.97
174.88,75.95,64.76,72.53,2.145,43.1,0.889,60.02,18806.45,21149.91
174.87,75.43,64.38,72.08,2.074,43.771,0.887,59.99,18647.59,21015.59
174.93,66.03,54.7,62.81,2.09,46.439,0.886,59.89,16080.21,18146.94
174.01,67.73,55.96,64.27,2.047,46.041,0.888,60.04,16411.36,18482.97
175.11,59.32,48.57,56.34,1.985,47.308,0.89,60.35,14449.26,16231.29
173.93,63.22,52.21,60.62,2.107,47.25,0.888,59.77,15347.72,17291.55
174.73,63.21,52.82,60.57,2.14,46.528,0.885,60.04,15452.35,17454.12
175.26,68.24,57.48,64.67,2.232,44.718,0.888,60.13,16793.19,18905.24
175.12,57.48,48.03,55.15,2.205,49.188,0.874,60.02,13914.56,15912.94
175.46,61.29,50.44,59.17,2.15,48.262,0.887,60.08,15011.27,16920.52
173.57,53.98,44.12,51.54,2.057,48.929,0.884,60.05,12948.43,14650.49
173.32,63.85,53.94,60.86,2.273,45.477,0.883,59.98,15494.53,17542.89
173.27,74.09,62.48,70.39,2.259,43.073,0.893,60.04,18133.79,20317.24
173.69,58.7,48.27,55.54,2.165,46.65,0.888,60.17,14153.67,15943.23
173.53,66.24,55.94,63.43,2.258,44.439,0.887,60.15,16180.93,18242.27
174.2,63.07,52.49,59.76,2.211,46.016,0.887,60.31,15326.96,17277.64
173.8,58.21,47.83,55.86,2.123,48.607,0.883,60.01,14017.23,15878.47
173.36,60.64,50.81,57.98,2.182,48.201,0.877,59.9,14581.0,16617.94
173.88,59.73,50.99,58.1,2.122,47.686,0.877,60.25,14595.08,16632.63
173.71,58.04,48.3,55.31,2.014,48.041,0.88,60.05,13971.43,15880.93
173.61,59.12,49.4,56.8,2.204,49.742,0.878,60.06,14249.21,16230.79
173.79,60.08,51.01,57.75,2.203,47.475,0.875,60.09,14555.41,16627.49
173.76,58.53,48.88,55.77,2.163,48.074,0.879,60.02,14094.67,16039.66
172.91,49.67,40.71,47.97,1.892,54.169,0.865,60.18,11670.39,13490.97
172.73,57.16,47.84,54.93,1.968,48.93,0.877,60.01,13711.87,15626.27
172.23,62.91,52.02,60.08,1.865,49.717,0.877,60.02,14934.98,17027.94
172.17,63.37,52.41,60.15,1.918,47.931,0.884,60.0,15139.97,17120.36
171.34,64.21,52.78,60.73,2.029,47.831,0.886,59.83,15232.82,17200.37
171.68,69.96,58.89,66.15,2.099,44.846,0.887,60.3,16817.56,18967.08
173.15,58.93,48.8,56.08,2.094,47.521,0.882,60.03,14145.45,16031.66
