ProductSN:3421256001
Date&Time,,Voltage(V),,,,UTHD(%),,,,Current(A),,,,ITHD(%),,,,Frequency(Hz),Power Factor,Active Power(W),Reactive Power(Var),Apparent Power(Va),Active Energy(Wh),Reactive Energy(Varh),Apparent Energy(Vah),Current Demand(A),,,,Current Peak Demand(A)&Date,,,,,,,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UAB,UBC,UCA,UAvg,UTHDAB,UTHDBC,UTHDCA,UTHDAvg,IA,IB,IC,IAvg,ITHDA,ITHDB,ITHDC,ITHDAvg,F,PF,PSum,QSum,SSum,EPSum,EQSum,ESSum,DmIA,DmIB,DmIC,DmIAVG,PDmIA,PDmIA_D/T,PDmIB,PDmIB_D/T,PDmIC,PDmIC_D/T,PDmIAVG,PDmIAVG_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2023-01-17,00:00:00,139.89,141.02,244.85,175.25,2.026,1.987,1.853,1.955,50.13,40.86,48.37,46.46,45.308,56.075,56.486,52.623,60.17,0.872,11999.86,2453.54,13764.55,257975,48243,289192,67.73,56.31,64.46,62.83,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16491.92,26759.13,2023-01-16 15:39:38,3314.48,4890.27,2023-01-16 18:08:23,18581.20,29863.81,2023-01-16 18:03:49,
2023-01-17,00:10:00,140.05,141.12,245.09,175.42,2.029,1.966,1.857,1.950,54.88,44.32,52.16,50.45,43.046,54.806,53.876,50.576,60.24,0.883,13212.74,2692.20,14959.53,259958,48652,291461,60.78,50.09,57.88,56.25,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14698.22,26759.13,2023-01-16 15:39:38,2989.42,4890.27,2023-01-16 18:08:23,16642.77,29863.81,2023-01-16 18:03:49,
2023-01-17,00:20:00,138.51,139.52,242.24,173.42,2.060,2.021,1.906,1.996,58.19,48.79,56.30,54.43,43.786,53.442,52.981,50.070,59.84,0.874,13989.31,2788.77,16013.10,262408,49143,294226,57.31,46.89,54.62,52.94,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13819.88,26759.13,2023-01-16 15:39:38,2806.10,4890.27,2023-01-16 18:08:23,15665.19,29863.81,2023-01-16 18:03:49,
2023-01-17,00:30:00,138.59,139.74,242.55,173.63,2.201,2.234,2.099,2.178,61.45,51.09,58.59,57.04,40.788,50.154,49.598,46.847,60.03,0.884,14848.13,2948.22,16795.44,264985,49658,297141,57.47,47.16,54.87,53.16,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13842.98,26759.13,2023-01-16 15:39:38,2801.97,4890.27,2023-01-16 18:08:23,15710.19,29863.81,2023-01-16 18:03:49,
2023-01-17,00:40:00,138.39,139.41,242.06,173.29,2.143,2.167,2.028,2.113,59.63,49.51,56.61,55.25,41.064,50.853,51.398,47.772,59.78,0.881,14312.74,2892.64,16240.44,267393,50139,299863,60.23,49.66,57.30,55.73,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14544.44,26759.13,2023-01-16 15:39:38,2915.51,4890.27,2023-01-16 18:08:23,16449.47,29863.81,2023-01-16 18:03:49,
2023-01-17,00:50:00,139.36,140.39,243.72,174.49,2.188,2.201,2.072,2.154,59.44,49.60,56.36,55.13,40.252,49.460,49.966,46.559,60.17,0.884,14429.22,2881.67,16331.06,269686,50598,302462,60.32,49.91,57.34,55.86,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14545.91,26759.13,2023-01-16 15:39:38,2909.39,4890.27,2023-01-16 18:08:23,16461.36,29863.81,2023-01-16 18:03:49,
2023-01-17,01:00:00,138.70,139.73,242.63,173.68,2.097,2.120,1.983,2.067,58.90,48.64,56.01,54.52,41.140,49.913,50.250,47.101,60.07,0.885,14198.66,2821.19,16048.66,272073,51076,305165,59.60,49.36,56.58,55.18,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14364.04,26759.13,2023-01-16 15:39:38,2871.53,4890.27,2023-01-16 18:08:23,16253.21,29863.81,2023-01-16 18:03:49,
2023-01-17,01:10:00,138.54,139.58,242.34,173.49,2.115,2.139,2.006,2.086,67.98,56.63,64.59,63.07,39.390,49.650,47.786,45.609,60.05,0.890,16524.84,3272.17,18565.77,274326,51530,307715,57.73,47.67,54.81,53.40,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13879.26,26759.13,2023-01-16 15:39:38,2783.84,4890.27,2023-01-16 18:08:23,15719.69,29863.81,2023-01-16 18:03:49,
2023-01-17,01:20:00,138.56,139.54,242.28,173.46,2.158,2.191,2.062,2.137,59.08,48.99,56.16,54.74,40.600,51.233,49.853,47.229,60.12,0.886,14261.94,2843.20,16101.40,276748,52007,310438,58.46,48.27,55.44,54.05,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14067.17,26759.13,2023-01-16 15:39:38,2809.00,4890.27,2023-01-16 18:08:23,15894.17,29863.81,2023-01-16 18:03:49,
2023-01-17,01:30:00,138.17,139.20,241.66,173.01,2.176,2.161,2.045,2.127,57.48,47.37,54.63,53.16,41.059,50.417,50.629,47.368,59.98,0.886,13809.73,2768.47,15586.69,279167,52495,313168,59.25,48.94,56.17,54.79,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14256.16,26759.13,2023-01-16 15:39:38,2849.79,4890.27,2023-01-16 18:08:23,16095.59,29863.81,2023-01-16 18:03:49,
2023-01-17,01:40:00,138.42,139.35,241.99,173.26,2.116,2.190,2.038,2.115,64.97,53.70,61.62,60.10,41.278,51.899,50.765,47.981,59.86,0.882,15575.65,3185.38,17651.75,281589,52984,315901,59.76,49.29,56.64,55.23,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14381.37,26759.13,2023-01-16 15:39:38,2881.20,4890.27,2023-01-16 18:08:23,16218.82,29863.81,2023-01-16 18:03:49,
2023-01-17,01:50:00,138.51,139.60,242.25,173.45,2.110,2.131,2.006,2.082,57.81,48.12,55.42,53.78,42.249,52.272,52.716,49.079,59.99,0.878,13882.35,2782.27,15819.81,284260,53530,318922,62.41,51.51,59.19,57.70,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15019.89,26759.13,2023-01-16 15:39:38,3030.19,4890.27,2023-01-16 18:08:23,16947.34,29863.81,2023-01-16 18:03:49,
2023-01-17,02:00:00,138.43,139.44,242.03,173.30,1.989,1.988,1.861,1.946,52.74,43.53,50.84,49.03,45.600,54.913,54.857,51.790,59.97,0.871,12529.30,2552.03,14391.73,286524,53987,321507,60.94,50.40,57.90,56.41,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14629.89,26759.13,2023-01-16 15:39:38,2967.43,4890.27,2023-01-16 18:08:23,16577.19,29863.81,2023-01-16 18:03:49,
2023-01-17,02:10:00,138.55,139.47,242.23,173.42,2.011,1.995,1.889,1.965,57.14,47.33,54.20,52.89,42.437,52.180,53.187,49.268,59.92,0.877,13635.15,2773.88,15556.21,288983,54484,324303,61.86,51.31,58.85,57.34,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14860.68,26759.13,2023-01-16 15:39:38,3013.59,4890.27,2023-01-16 18:08:23,16863.18,29863.81,2023-01-16 18:03:49,
2023-01-17,02:20:00,139.01,139.98,243.06,174.02,1.995,2.042,1.889,1.976,50.95,41.35,48.02,46.77,42.490,52.793,53.315,49.532,60.09,0.883,12157.25,2487.69,13771.72,291279,54948,326917,59.53,49.48,56.65,55.22,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14277.95,26759.13,2023-01-16 15:39:38,2895.71,4890.27,2023-01-16 18:08:23,16252.28,29863.81,2023-01-16 18:03:49,
2023-01-17,02:30:00,139.16,140.12,243.23,174.17,2.024,2.084,1.926,2.011,49.43,41.58,46.40,45.80,40.700,49.058,53.044,47.601,60.02,0.875,11868.41,2395.46,13565.10,293367,55366,329281,56.64,47.03,53.73,52.47,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13590.67,26759.13,2023-01-16 15:39:38,2739.43,4890.27,2023-01-16 18:08:23,15453.89,29863.81,2023-01-16 18:03:49,
2023-01-17,02:40:00,138.95,139.93,242.91,173.93,2.012,2.041,1.899,1.984,52.05,43.18,48.29,47.84,38.633,47.002,49.665,45.100,60.03,0.885,12509.36,2518.17,14133.22,295425,55779,331610,55.51,46.12,52.29,51.31,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13340.93,26759.13,2023-01-16 15:39:38,2681.65,4890.27,2023-01-16 18:08:23,15129.30,29863.81,2023-01-16 18:03:49,
