UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum,Iavg,Deviation_A,Deviation_B,Deviation_C,Max_Deviation,Current_Imbalance_%,Status
175.25,50.13,40.86,48.37,1.955,52.623,0.872,60.17,11999.86,13764.55,46.45333333333334,3.6766666666666623,5.593333333333341,1.9166666666666572,5.593333333333341,12.040757749712988,Warning
175.42,54.88,44.32,52.16,1.95,50.576,0.883,60.24,13212.74,14959.53,50.45333333333334,4.426666666666662,6.13333333333334,1.7066666666666563,6.13333333333334,12.156448202959842,Warning
173.42,58.19,48.79,56.3,1.996,50.07,0.874,59.84,13989.31,16013.1,54.426666666666655,3.7633333333333425,5.636666666666656,1.873333333333342,5.636666666666656,10.35644292013717,Warning
173.63,61.45,51.09,58.59,2.178,46.847,0.884,60.03,14848.13,16795.44,57.04333333333333,4.406666666666673,5.953333333333326,1.546666666666674,5.953333333333326,10.436510255361409,Warning
173.29,59.63,49.51,56.61,2.113,47.772,0.881,59.78,14312.74,16240.44,55.25,4.380000000000003,5.740000000000002,1.3599999999999994,5.740000000000002,10.389140271493217,Warning
174.49,59.44,49.6,56.36,2.154,46.559,0.884,60.17,14429.22,16331.06,55.133333333333326,4.306666666666672,5.533333333333324,1.2266666666666737,5.533333333333324,10.036275695284145,Warning
173.68,58.9,48.64,56.01,2.067,47.101,0.885,60.07,14198.66,16048.66,54.51666666666666,4.38333333333334,5.876666666666658,1.4933333333333394,5.876666666666658,10.779578110669506,Warning
173.49,67.98,56.63,64.59,2.086,45.609,0.89,60.05,16524.84,18565.77,63.06666666666667,4.913333333333334,6.436666666666667,1.5233333333333334,6.436666666666667,10.206131078224102,Warning
173.46,59.08,48.99,56.16,2.137,47.229,0.886,60.12,14261.94,16101.4,54.74333333333333,4.336666666666666,5.75333333333333,1.4166666666666643,5.75333333333333,10.509651099068375,Warning
173.01,57.48,47.37,54.63,2.127,47.368,0.886,59.98,13809.73,15586.69,53.16,4.32,5.789999999999999,1.470000000000006,5.789999999999999,10.891647855530472,Warning
173.26,64.97,53.7,61.62,2.115,47.981,0.882,59.86,15575.65,17651.75,60.096666666666664,4.873333333333335,6.396666666666661,1.5233333333333334,6.396666666666661,10.643962504853283,Warning
173.45,57.81,48.12,55.42,2.082,49.079,0.878,59.99,13882.35,15819.81,53.78333333333334,4.026666666666664,5.663333333333341,1.6366666666666632,5.663333333333341,10.529903935543862,Warning
173.3,52.74,43.53,50.84,1.946,51.79,0.871,59.97,12529.3,14391.73,49.03666666666667,3.703333333333333,5.506666666666668,1.8033333333333346,5.506666666666668,11.229692067160629,Warning
173.42,57.14,47.33,54.2,1.965,49.268,0.877,59.92,13635.15,15556.21,52.89000000000001,4.249999999999993,5.560000000000009,1.3099999999999952,5.560000000000009,10.512384193609394,Warning
174.02,50.95,41.35,48.02,1.976,49.532,0.883,60.09,12157.25,13771.72,46.77333333333334,4.176666666666662,5.423333333333339,1.2466666666666626,5.423333333333339,11.594925883694424,Warning
174.17,49.43,41.58,46.4,2.011,47.601,0.875,60.02,11868.41,13565.1,45.803333333333335,3.626666666666665,4.223333333333336,0.596666666666664,4.223333333333336,9.220580743759559,Normal
173.93,52.05,43.18,48.29,1.984,45.1,0.885,60.03,12509.36,14133.22,47.839999999999996,4.210000000000001,4.659999999999997,0.45000000000000284,4.659999999999997,9.740802675585277,Normal
174.04,50.04,41.8,46.41,2.138,45.812,0.882,60.02,12024.79,13638.79,46.083333333333336,3.9566666666666634,4.2833333333333385,0.3266666666666609,4.2833333333333385,9.294755877034369,Normal
174.38,48.88,40.39,45.34,1.933,47.326,0.88,60.03,11687.83,13283.47,44.870000000000005,4.009999999999998,4.480000000000004,0.46999999999999886,4.480000000000004,9.984399375975046,Normal
173.88,54.02,44.55,50.06,2.119,44.054,0.891,59.88,13022.04,14620.23,49.54333333333333,4.476666666666674,4.993333333333332,0.5166666666666728,4.993333333333332,10.078718966561258,Warning
174.19,72.82,60.52,68.24,2.195,44.157,0.89,60.02,17678.98,19873.46,67.19333333333333,5.626666666666665,6.673333333333325,1.0466666666666669,6.673333333333325,9.93154082746303,Normal
173.8,63.5,52.97,59.25,2.064,44.026,0.887,59.96,15348.33,17300.63,58.57333333333333,4.926666666666669,5.603333333333332,0.6766666666666694,5.603333333333332,9.566355565672659,Normal
173.77,56.53,47.43,52.88,1.967,45.895,0.881,59.96,13601.93,15442.92,52.28,4.25,4.850000000000001,0.6000000000000014,4.850000000000001,9.2769701606733,Normal
174.2,59.67,49.6,56.31,1.971,46.898,0.881,60.1,14373.05,16318.32,55.193333333333335,4.476666666666667,5.593333333333334,1.1166666666666671,5.593333333333334,10.134074163546321,Warning
173.86,48.72,40.49,45.98,1.945,49.808,0.873,59.97,11610.03,13298.1,45.06333333333333,3.6566666666666663,4.573333333333331,0.9166666666666643,4.573333333333331,10.148679636067751,Warning
173.28,47.11,38.58,44.17,1.878,50.945,0.869,59.86,11047.15,12711.14,43.28666666666667,3.8233333333333306,4.7066666666666706,0.8833333333333329,4.7066666666666706,10.87324811335285,Warning
173.49,64.64,54.1,60.75,2.22,46.109,0.881,60.31,15532.76,17637.51,59.830000000000005,4.809999999999995,5.730000000000004,0.9199999999999946,5.730000000000004,9.577135216446605,Normal
